,epoch,cel,cm,val_cel,val_cm
0,0,4336.433229645686,"[[6987, 1533], [753, 24642]]",87.1768804192543,"[[859, 90], [1, 2818]]"
1,1,87.29014581708766,"[[7735, 652], [5, 25523]]",82.44310861825943,"[[859, 85], [1, 2823]]"
2,2,84.9852286666187,"[[7737, 452], [3, 25723]]",87.12083467841148,"[[859, 58], [1, 2850]]"
3,3,82.83512229350076,"[[7737, 215], [3, 25960]]",89.9095031619072,"[[859, 128], [1, 2780]]"
4,4,84.72489026767104,"[[7733, 270], [7, 25905]]",80.09429144859314,"[[859, 17], [1, 2891]]"
5,5,82.35861052328082,"[[7739, 196], [1, 25979]]",80.22133046388626,"[[859, 19], [1, 2889]]"
6,6,81.84989436704721,"[[7740, 169], [0, 26006]]",82.57192069292068,"[[859, 16], [1, 2892]]"
7,7,82.24330577565662,"[[7739, 181], [1, 25994]]",82.18192613124847,"[[859, 21], [1, 2887]]"
8,8,82.04760332249883,"[[7740, 190], [0, 25985]]",82.54443728923798,"[[859, 19], [1, 2889]]"
9,9,82.03142476437696,"[[7740, 189], [0, 25986]]",82.34834146499634,"[[859, 19], [1, 2889]]"
10,10,82.03040917239971,"[[7740, 189], [0, 25986]]",82.27148550748825,"[[859, 19], [1, 2889]]"
11,11,82.02247010416059,"[[7740, 188], [0, 25987]]",81.63902145624161,"[[859, 18], [1, 2890]]"
12,12,81.93662819933536,"[[7740, 180], [0, 25995]]",81.28587687015533,"[[859, 19], [1, 2889]]"
13,13,81.71721751654326,"[[7740, 158], [0, 26017]]",86.67722943425179,"[[859, 14], [1, 2894]]"
14,14,82.19532180900005,"[[7737, 156], [3, 26019]]",82.71796727180481,"[[859, 20], [1, 2888]]"
15,15,81.91296714099485,"[[7740, 173], [0, 26002]]",88.1527368426323,"[[859, 15], [1, 2893]]"
16,16,81.60868957861146,"[[7740, 147], [0, 26028]]",88.95083153247833,"[[859, 11], [1, 2897]]"
17,17,90.24040469838612,"[[7633, 374], [107, 25801]]",96.15925692021847,"[[776, 152], [84, 2756]]"
18,18,78.35708246658098,"[[7585, 571], [155, 25604]]",33.37626529857516,"[[859, 70], [1, 2838]]"
19,19,29.753990806750398,"[[7736, 515], [4, 25660]]",34.64598362892866,"[[859, 70], [1, 2838]]"
20,20,21.938417648201558,"[[7740, 511], [0, 25664]]",36.160552099347115,"[[859, 68], [1, 2840]]"
21,21,20.831428107930652,"[[7739, 510], [1, 25665]]",37.71413481235504,"[[859, 66], [1, 2842]]"
22,22,19.8710949670023,"[[7734, 498], [6, 25677]]",36.44315782934427,"[[858, 65], [2, 2843]]"
23,23,15.9122278725923,"[[7738, 495], [2, 25680]]",43.238949025049806,"[[858, 63], [2, 2845]]"
24,24,9.458569135238875,"[[7739, 490], [1, 25685]]",40.876661598682404,"[[859, 67], [1, 2841]]"
25,25,7.607234416612938,"[[7739, 479], [1, 25696]]",36.667846381664276,"[[859, 67], [1, 2841]]"
26,26,6.723696440013487,"[[7740, 471], [0, 25704]]",42.59186917543411,"[[859, 64], [1, 2844]]"
27,27,6.6088724901427085,"[[7740, 473], [0, 25702]]",41.68289852142334,"[[859, 63], [1, 2845]]"
28,28,11.372443658202442,"[[7734, 295], [6, 25880]]",56.3588142991066,"[[859, 18], [1, 2890]]"
29,29,6.3815744752802805,"[[7735, 173], [5, 26002]]",75.33673078753054,"[[858, 17], [2, 2891]]"
30,30,4.041513453135197,"[[7738, 163], [2, 26012]]",86.76349967718124,"[[858, 16], [2, 2892]]"
31,31,2.7314227650316916,"[[7740, 157], [0, 26018]]",72.58162075281143,"[[858, 18], [2, 2890]]"
32,32,2.8113937319722027,"[[7739, 156], [1, 26019]]",61.82138919830322,"[[859, 18], [1, 2890]]"
33,33,3.394773756390172,"[[7739, 161], [1, 26014]]",52.7431657910347,"[[858, 19], [2, 2889]]"
34,34,3.4252533660645583,"[[7739, 162], [1, 26013]]",97.46192547678947,"[[858, 16], [2, 2892]]"
35,35,2.4433745777425373,"[[7740, 152], [0, 26023]]",85.56894052028656,"[[858, 16], [2, 2892]]"
36,36,2.571913231219808,"[[7740, 154], [0, 26021]]",62.833034455776215,"[[858, 18], [2, 2890]]"
37,37,3.3037854779953904,"[[7737, 154], [3, 26021]]",61.6167368888855,"[[858, 18], [2, 2890]]"
38,38,2.86541347829069,"[[7740, 168], [0, 26007]]",62.10741049051285,"[[858, 17], [2, 2891]]"
39,39,2.362219636768225,"[[7740, 150], [0, 26025]]",76.54166534543037,"[[858, 14], [2, 2894]]"